"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Gut Brain Symbiotic",SGBB,10,$308.70
"Adrenal Cortex Extract",TACT,3,$56.70
ReBiosis,MCRBIO,10,$218.80
