"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Clarify 4.0",MCCL,1,$22.40
Adpt-CNS,MCADPT,1,$27.18
"Pro Flora Max+",SFMP,1,$28.93
ReBiosis,MCRBIO,1,$21.88
"Deep Blue Sleep",MCDBS,1,$23.68
"EstroMetab 2.0",MCEM,1,$30.73
"Eco Adrenal 200",TEAD-2,1,$18.50
