"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Thyro Complex",THYC90,12,$226.32
"Eco Thyro 37",TETH37,3,$45.69
"Eco Thyro 125",TETH125,3,$55.65
ReBiosis,MCRBIO,12,$267.84
