"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Pro Flora Max+",SFMP,4,$121.52
"Gut Brain Symbiotic",SGBB,2,$61.74
"Oligo Iron",OFE,1,$10.50
