"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"EstroMetab 2.0",MCEM,4,$68.80
ReBiosis,MCRBIO,3,$66.96
Adpt-CNS,MCADPT,1,$33.00
"Pro Muscle Calm",LMC180,4,$69.28
