"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
ReBiosis,MCRBIO,2,$43.76
QuiCalm,MCQC,2,$63.50
"True Chelate Magnesium",MMG,2,$39.82
"Deep Blue Sleep",MCDBS,4,$94.72
Adpt-CNS,MCADPT,1,$30.50
