"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Brain Liquescence",T6,3,$34.65
"Deep Blue Sleep",MCDBS,3,$71.04
"Mitochondrial & Energy Assist",SENS,2,$47.74
ReBiosis,MCRBIO,12,$262.56
"RenoCap Forté",MCKD,4,$106.60
Sunfiber®,MCFIB,12,$323.28
