"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Eco Adrenal 200",TEAD-2,1,$19.43
"Osseoapatite Plus",TOSP,1,$12.34
"True Chelate Magnesium",MMG,1,$19.91
