"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Glucogen Complex",SGC,2,$32.70
"Phase 2.5 Bile Support",SP2.5,2,$59.32
"ALA Forté",MCALA,1,$17.55
