"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Deep Blue Sleep",MCDBS,1,$43.09
"RenoCap Forte",MCKD,1,$48.5
"EstroMetab 2.0",MCEM,1,$30.73
TheAva,MCTVA,1,$60.55
