"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
Adpt-CNS,MCADPT,2,$54.36
"Deep Blue Sleep",MCDBS,1,$23.68
"Clarify 4.0",MCCL,1,$22.40
"Eco Adrenal 200",TEAD-2,2,$38.86
"Pro Flora Max+",SFMP,1,$30.38
T-Time,MCTS,1,$31.31
ReBiosis,MCRBIO,2,$43.76
