"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
Adpt-CNS,MCADPT,2,$54.36
QuiCalm,MCQC,2,$63.50
"Deep Blue Sleep",MCDBS,1,$23.68
Sunfiber®,MCFIB,1,$26.94
