"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"RenoCap Forté",MCKD,6,$159.90
"Deep Blue Sleep",MCDBS,4,$94.72
"EstroMetab 2.0",MCEM,2,$33.78
"Lymph Liquescence",T16,2,$23.10
MycoPro-5,SMP5,2,$76.00
