"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Deep Blue Sleep",MCDBS,1,$23.68
"Phase 2.5 Bile Support",SP2.5,2,$59.32
"True Chelate Magnesium",MMG,1,$19.91
HemePlex,MCHEME,1,$10.91
T-Time,MCTS,1,$31.31
